List of Items,,,,,
Name,Sale Price-B,Sale Price,Description 1,Alias,Print Name
509 ot jar vsp,380.00,350.00,,preethi 1.0 ltr bowl ot jar vsp,preethi 1.0 ltr bowl ot jar vsp
513 ot jar vsp,400.00,380.00,,preethi 1.5 ltr ot jar vsp,preethi 1.5 ltr ot jar vsp
514 3l ot jar vsp,450.00,400.00,,preethi 1.75 ltr 3l ot jar vsp,preethi 1.75 ltr 3l ot jar vsp
514 ot jar vsp,420.00,380.00,,preethi 1.75 ltr ot jar vsp,preethi 1.75 ltr ot jar vsp
515 3l ot jar vsp,350.00,320.00,,preethi 1.0 ltr 3l ot jar vsp,preethi 1.0 ltr 3l ot jar vsp
515 ot jar vsp,350.00,300.00,,preethi 1.0 ltr t ot jar vsp,preethi 1.0 ltr t ot jar vsp
516 3l ot jar vsp,200.00,190.00,,preethi 0.33 ltr 3L ot jar vsp,preethi 0.33 ltr 3L  ot jar vsp
520 bush,40.00,35.00,,butterfly 520 bush,butterfly 520 bush
521 bush,45.00,40.00,,brown 521 bush,brown 521 bush
55MM Hob Burner cap,230.00,180.00,15500,,55MM Hob Burner cap
55MM Hob Burner Set,330.00,280.00,15875,,55MM Hob Burner Set
5kg 1mm copper roll 50ft,4000.00,3800.00,916750,,5kg 1mm copper roll 50ft
5kg Auto Plat Set,160.00,155.00,,,5kg Auto Plat Set
5kg copper roll 50ft,3500.00,3300.00,914250,,5kg copper roll 50ft
5Kg maki,2.00,2.00,,,5Kg maki
5KG Plat Knob,3.50,3.00,,,5KG Plat Knob
5kg Tank,410.00,390.00,,,5kg Tank
5kg Vall L,0.00,40.00,,,5kg Vall L
5mtr outlet pipe,155.00,140.00,,semi 5 mtr outlet pipe,semi 5 mtr outlet pipe
6 ft BPBP Srk brass nut,110.00,105.00,,,6 ft BPBP Srk brass nut
6 ft BPBP Srk ms nut,100.00,95.00,,,6 ft BPBP Srk ms nut
6 ft BPCP Srk brass nut,122.00,117.00,,,6 ft BPCP Srk brass nut
6 ft CPCP Srk brass nut,135.00,129.00,,,6 ft CPCP Srk brass nut
6 ft flx BPBP brass nut,105.00,103.00,,6 ft flexable BPBP brass nut,6 ft flexable BPBP brass nut
